商品コード,SKUID,商品名,グループ,部門,カテゴリ,サブカテ,is_selected
4902505447860 ,14902505447867 ,パイロット【ボ－ルペン替芯】フリクションボール多色／スリム用 0.38mm 3本入（レッド）,327,240,1,10,1
4902702001346 ,14902702001343 ,マルタイ 鹿児島 黒豚とんこつラーメン 二人前 185g,211,5,10,1,1
4953823384689 ,14953823384686 ,ロッテ レディボーデンカップセレクション 75ml×6個,221,19,1,1,1
4973512320484 ,14973512320481 ,サラヤ ヤシノミ洗剤 つめかえ用 1500ml,384,303,1,1,1
4987244171931 ,14987244171938 ,【1ヶ月頃～】和光堂 ベビーのじかん むぎ茶 500ml,113,123,17,20,1
4549414361544 ,14549414361541 ,トップバリュベストプライス 5種のサラダ豆（水煮）120g,221,14,2,4,1
4549741016131 ,14549741016138 ,トップバリュ ピーナッツ 185g,211,1,4,4,1
4901810574636 ,14901810574633 ,トップバリュ ピーナッツクリームクリーミー 粒入 140g,211,2,2,1,1
4902008125203 ,14902008125200 ,天恵製菓 ミニブッセトリオ 140g,211,1,3,7,1
4902130394904 ,14902130394901 ,ニチレイ 衣がサクサク牛肉コロッケ 5個入,221,24,3,1,1
4902777351223 ,14902777351220 ,明治 銀座カリー 中辛 180g,211,5,3,1,1
4549414317268 ,14549414317265 ,トップバリュ ロイヤル監修 なすとリガトーニのボロネーゼ仕立てクリームソースグラタン 270g,221,24,1,4,1
4901777241497 ,14901777241494 ,サントリー －196℃ストロングゼロ ドライ 350ml×6,214,9,5,2,1
4901940113972 ,14901940113979 ,東ハト キャラメルコーン 70g,211,1,2,2,1
4902121421268 ,14902121421265 ,トップバリュ 佐賀県有明海産 手巻きのり 2切30枚入,211,5,6,2,1
4902505447853 ,14902505447850 ,パイロット【ボ－ルペン替芯】フリクションボール多色／スリム用 0.38mm 3本入（ブラック）,327,240,1,10,1
4902702005214 ,14902702005211 ,マルタイ 長崎皿うどん 2食入,211,5,10,1,1
4902720076951 ,14902720076958 ,森永乳業 ピノ 10ml×6粒,221,19,1,5,1
4971666409581 ,14971666409588 ,グリコ プッチンプリン 67g×3,221,18,1,1,1
4901085624517 ,14901085624514 ,伊藤園 おーいお茶 緑茶 280ml,211,74,1,6,1
4901366039696 ,14901366039693 ,フードリエ 家族の定番モーニングステーキ 140g,221,52,1,8,1
4902705080072 ,14902705080079 ,明治 エッセルスーパーカップ ミニクッキーバニラ 80ml×6個,221,19,1,3,1
4930726001394 ,14930726001391 ,キッコーマンソイフーズ 豆乳飲料バナナ 1000ml,221,20,2,2,1
4549741361071 ,14549741361078 ,トップバリュベストプライス 即席みそ汁3種の具材 12食,211,5,11,1,1
4901301430229 ,14901301430226 ,花王 花王石鹸ホワイト アロマティック・ローズの香り バスサイズ 130g×3コ,384,243,6,1,1
4901901412922 ,14901901412929 ,The Fruit 4種のミックス 240g,221,18,1,2,1
4902102134187 ,14902102134184 ,コカ・コーラ 綾鷹 茶葉のあまみ 525ml,211,74,1,6,1
4987176108913 ,14987176108910 ,P＆G ボールド ジェルボール4D 心やすらぐラベンダー＆フローラルガーデンの香り 本体 11個,384,304,1,2,1
4549741026109 ,14549741026106 ,トップバリュ カップみそ汁 豚汁 98.0g,211,5,11,3,1
4549741790727 ,14549741790724 ,トップバリュ ペーパーカップ 205ml 50個,384,303,7,1,1
4901140620010 ,14901140620017 ,岩谷マテリアル アイラップUF HD 60枚,384,303,3,2,1
4901480233031 ,14901480233038 ,コクヨ キャンパス ドットリーフ A罫,327,240,2,5,1
4901777238022 ,14901777238029 ,サントリーフーズ 緑茶伊右衛門 2000ml,211,74,1,6,1
4902105035764 ,14902105035761 ,日清食品 ミニーズ 5食パック,211,5,8,7,1
4902110260199 ,14902110260196 ,日清製粉ウェルナ マ・マー早ゆでスパゲティ 1.6mm 500g,211,5,7,1,1
4902110341850 ,14902110341857 ,日清製粉ウェルナ カメリヤスペシャル 1kg,211,4,1,1,1
4902402898574 ,14902402898571 ,ハウス食品 カリー屋カレー辛口 180g,211,5,3,1,1
4902720117340 ,14902720117347 ,森永乳業 アロエヨーグルト 80g×2,221,18,2,3,1
4903111331314 ,14903111331311 ,ユニ・チャーム ソフィ ソフトタンポン レギュラー 34コ,384,244,5,5,1
4970120608256 ,14970120608253 ,岩下食品 お徳用新生姜 130g,221,14,1,9,1
4971749110342 ,14971749110349 ,菓道 焼肉さん太郎 1枚入,211,1,5,2,1
4976633011125 ,14976633011122 ,センタン 白くま 55ml×6本,221,19,1,3,1
4549741339704 ,14549741339701 ,トップバリュ かた焼そば 太麺 2食（50g×2）,221,83,1,6,1
4901810137619 ,14901810137616 ,トップバリュベストプライス 氷 2kg,221,23,1,8,1
4902705030626 ,14902705030623 ,明治 SAVAS ミルクプロテイン 430ml,221,20,1,5,1
4902705095670 ,14902705095677 ,明治 エッセルスーパーカップ マロンタルト味 200ml,221,19,1,5,1
4902887038250 ,14902887038257 ,丸善食品工業 具材と旨味にこだわったかにぞうすい 250g,211,5,4,2,1
4960516201239 ,14960516201236 ,ダイショウ ピナッツクリーミー 225g,211,2,2,1,1
4901422153502 ,14901422153509 ,クレハ NEWクレラップ レギュラー 30cm×50m,384,303,3,2,1
4903301241447 ,14903301241444 ,ライオン クリニカアドバンテージ ハミガキ シトラスミント 130g,384,244,1,1,1
4987176161390 ,14987176161397 ,P＆G 除菌ジョイコンパクト レモンの香り つめかえ用 超特大サイズ 増量 940ml,384,303,1,1,1
4987244191854 ,14987244191851 ,【1歳頃～】和光堂 1歳からのMYジュレドリンク 1／2食分の野菜＆くだもの 3種6個入,113,123,17,70,1
4901777333994 ,14901777333991 ,サントリーフーズ ペプシMEGA生ゼロ 1500ml,211,74,1,4,1
4902033804807 ,14902033804804 ,東京デーリー 香り際立つパルミジャーノブレンド 90g,221,21,3,4,1
4902380198345 ,14902380198342 ,日清オイリオ におい少ないキャノーラ油 900g,211,3,14,1,1
4902402853887 ,14902402853884 ,ハウス食品 バーモントカレー 中辛 230g,211,3,11,1,1
4976994205799 ,14976994205796 ,ハーゲンダッツ ミニカップ リッチミルク 110ml,221,19,1,1,1
4987037761523 ,14987037761520 ,◆ 【第2類医薬品】奥田製薬 ハピコム スットノーズ αプラス点鼻薬 30ml,382,695,1,6,1
4549414360530 ,14549414360537 ,トップバリュ パイナップル 75g,211,1,4,6,1
4901261082643 ,14901261082640 ,秋本食品 あとひき大根 180g,221,14,1,1,1
4901390173236 ,14901390173233 ,サクラ印 北海道てんさいオリゴ 500g,211,2,2,2,1
4901810137350 ,14901810137357 ,トップバリュ すりごま 白 55g,211,4,8,3,1
